match_id,tournament_id,white_id,black_id,result,white_rtg,black_rtg
1350002_R1_B1,1350002,24195995,24195995,1 - 0,24195995,24195995
1350002_R1_B2,1350002,34461051,34461051,0 - 1,34461051,34461051
1350002_R1_B3,1350002,4125460,4125460,1 - 0,4125460,4125460
1350002_R1_B4,1350002,55608230,55608230,0 - 1,55608230,55608230
1350002_R1_B5,1350002,24102571,24102571,1 - 0,24102571,24102571
1350002_R1_B6,1350002,522087354,522087354,0 - 1,522087354,522087354
1350002_R1_B7,1350002,55808514,55808514,1 - 0,55808514,55808514
1350002_R1_B8,1350002,55823580,55823580,0 - 1,55823580,55823580
1350002_R1_B9,1350002,34399178,34399178,1 - 0,34399178,34399178
1350002_R1_B10,1350002,54122023,54122023,0 - 1,54122023,54122023
1350002_R1_B11,1350002,34386130,34386130,0 - 1,34386130,34386130
1350002_R1_B12,1350002,,,0 - 1,,
1350002_R1_B13,1350002,34406816,34406816,1 - 0,34406816,34406816
1350002_R1_B14,1350002,55755160,55755160,0 - 1,55755160,55755160
1350002_R1_B15,1350002,540039757,540039757,1 - 0,540039757,540039757
1350002_R1_B16,1350002,55756883,55756883,0,55756883,55756883
1350005_R1_B1,1350005,42248698,42248698,1 - 0,42248698,42248698
1350005_R1_B2,1350005,,,0 - 1,,
1350005_R1_B3,1350005,42239060,42239060,1 - 0,42239060,42239060
1350005_R1_B4,1350005,,,0 - 1,,
1350005_R1_B5,1350005,42238641,42238641,1 - 0,42238641,42238641
1350005_R1_B6,1350005,42258286,42258286,0 - 1,42258286,42258286
1350005_R1_B7,1350005,42236452,42236452,1 - 0,42236452,42236452
1350005_R1_B8,1350005,,,0 - 1,,
1350005_R1_B9,1350005,42247551,42247551,1 - 0,42247551,42247551
1350005_R1_B10,1350005,,,0 - 1,,
1350006_R1_B1,1350006,13721895,13721895,+ - -,13721895,13721895
1350006_R1_B2,1350006,,,0 - 1,,
1350006_R1_B3,1350006,447068620,447068620,1 - 0,447068620,447068620
1350006_R1_B4,1350006,,,0 - 1,,
1350006_R1_B5,1350006,447066342,447066342,1 - 0,447066342,447066342
1350006_R1_B6,1350006,,,0 - 1,,
1350006_R1_B7,1350006,13715330,13715330,+ - -,13715330,13715330
1350006_R1_B8,1350006,,,- - +,,
1350006_R1_B9,1350006,13707370,13707370,+ - -,13707370,13707370
1350006_R1_B10,1350006,,,0 - 1,,
1350006_R1_B11,1350006,13707272,13707272,+ - -,13707272,13707272
1350006_R1_B12,1350006,,,1 - 0,,
1350006_R1_B13,1350006,447066393,447066393,1 - 0,447066393,447066393
1350006_R1_B14,1350006,447084855,447084855,0 - 1,447084855,447084855
1350006_R1_B15,1350006,13784285,13784285,+ - -,13784285,13784285
1350006_R1_B16,1350006,,,0 - 1,,
1350006_R1_B17,1350006,447042869,447042869,1 - 0,447042869,447042869
1350006_R1_B18,1350006,,,- - +,,
1350006_R1_B19,1350006,447066334,447066334,1 - 0,447066334,447066334
1350006_R1_B20,1350006,,,0 - 1,,
1350006_R1_B21,1350006,447066369,447066369,1 - 0,447066369,447066369
1350006_R1_B22,1350006,,,1 - 0,,
1350006_R1_B23,1350006,447025859,447025859,1 - 0,447025859,447025859
1350006_R1_B24,1350006,,,- - +,,
1350006_R1_B25,1350006,447083085,447083085,+ - -,447083085,447083085
1350006_R1_B26,1350006,,,0 - 1,,
1350006_R1_B27,1350006,447076208,447076208,1 - 0,447076208,447076208
1350006_R1_B28,1350006,447066423,447066423,0 - 1,447066423,447066423
1350006_R1_B29,1350006,447066571,447066571,0 - 1,447066571,447066571
1350006_R1_B30,1350006,,,0 - 1,,
1350006_R1_B31,1350006,557008396,557008396,+ - -,557008396,557008396
1350006_R1_B32,1350006,,,0 - 1,,
1350006_R1_B33,1350006,557007071,557007071,1 - 0,557007071,557007071
1350006_R1_B34,1350006,,,0 - 1,,
1350006_R1_B35,1350006,447068531,447068531,+ - -,447068531,447068531
1350006_R1_B36,1350006,,,- - +,,
1350006_R1_B37,1350006,447084863,447084863,0 - 1,447084863,447084863
1350006_R1_B38,1350006,,,1 - 0,,
1350006_R1_B39,1350006,557014248,557014248,0 - 1,557014248,557014248
1350006_R1_B53,1350006,,,1 - 0,,
1350006_R1_B55,1350006,447066270,447066270,1 - 0,447066270,447066270
1350006_R1_B56,1350006,447084898,447084898,0 - 1,447084898,447084898
1350006_R1_B58,1350006,447086971,447086971,1 - 0,447086971,447086971
1350006_R1_B59,1350006,,,1 - 0,,
1350006_R1_B62,1350006,,,0 - 1,,
1350006_R1_B65,1350006,557003505,557003505,0 - 1,557003505,557003505
1350006_R1_B73,1350006,447022574,447022574,+ - -,447022574,447022574
1350006_R1_B77,1350006,447086980,447086980,+ - -,447086980,447086980
1350006_R1_B78,1350006,,,1 - 0,,
1350014_R1_B1,1350014,531086489,531086489,1 - 0,531086489,531086489
1350014_R1_B2,1350014,,,- - +,,
1350014_R1_B3,1350014,88136701,88136701,+ - -,88136701,88136701
1350014_R1_B4,1350014,,,- - +,,
1350014_R1_B6,1350014,,,- - +,,
1350014_R1_B16,1350014,547090936,547090936,1 - 0,547090936,547090936
1350009_R1_B2,1350009,13713582,13713582,1 - 0,13713582,13713582
1350011_R1_B1,1350011,33468397,33468397,1 - 0,33468397,33468397
1350011_R1_B2,1350011,,,0 - 1,,
1350011_R1_B12,1350011,,,0 - 1,,
1350015_R1_B1,1350015,42235502,42235502,0 - 1,42235502,42235502
1350015_R1_B2,1350015,,,1 - 0,,
1350015_R1_B3,1350015,42228000,42228000,0 - 1,42228000,42228000
1350015_R1_B4,1350015,1244078,1244078,0 - 1,1244078,1244078
1350015_R1_B5,1350015,42233976,42233976,1 - 0,42233976,42233976
1350015_R1_B6,1350015,1290797,1290797,1 - 0,1290797,1290797
1350015_R1_B7,1350015,42232341,42232341,0 - 1,42232341,42232341
1350015_R1_B8,1350015,1232312,1232312,1 - 0,1232312,1232312
1350015_R1_B9,1350015,42238641,42238641,0 - 1,42238641,42238641
1350015_R1_B10,1350015,42245869,42245869,1 - 0,42245869,42245869
1350019_R1_B1,1350019,,,0 - 1,,
1350019_R1_B2,1350019,46616357,46616357,1 - 0,46616357,46616357
1350002_R2_B1,1350002,55755755,55755755,0 - 1,55755755,55755755
1350002_R2_B2,1350002,4197011,4197011,1 - 0,4197011,4197011
