tournament_id,tourney_name,date,base_minutes,increment_seconds,location
1351499,AXDB - Campeonato Distrital Jovens & Veteranos Clássicas 2025/2026 | SUB 20 ,2026-02-14,90,30,Agrupamento de Escolas João de Meira
1351500,Manny Pacquiao International Open - 87th Kalilangan Chess Festival 2026  [Challenger],2026-02-23,90,0,"Family Country Hotel, General Santos City, Philippines"
1351501,Olimpiadas Ex-Alumnos Castillistas Verano 2026 ,2026-02-11,15,0,Trujillo
1350001,IDESSA Boys Team Chess Championship Jalgaon ,2026-02-09,25,5,Governament  Polytechnic Jalgaon
1350002,Чемпионат Калужской области по быстрым шахматам (мужчины) ,2026-02-14,15,10,Kaluga
1350005,Maraton Sahistic Clujean Ed.12- Turneu C- U 1500 CIV Cluj-Napoca 28 Februarie-1 Martie 2026,2026-02-28,60,30,"FSEGA Cluj-Napoca, Strada Teodor Mihali nr. 58-60, Cluj-Napoca"
1350006,1/4 финала Кубка Сената области Абай 2026 ,2026-05-30,10,5,Semey
1350007,مسابقات تیمی انفرادی مدارس ابتدایی پسرانه بهبهان19بهمن 1404 ,2026-02-08,,0,
1350009,1/8 Кубка Сената среди гос.служащих и раб.нац.компаний Акмолинской области ,2026-02-12,10,5,Кокшетау
1350011,3rd Inter Virudhai District Chess 2026 ,2026-02-09,,0,
1350014,"2nd Edition of CM ' CUP Boys Hanumakonda District Selections– 2025 Indore Stadium ,   Hanamkonda  cell 9963214108",2026-09-02,15,0,"Vamshi Stust Bhava, Vidhyuth Nagar ,   Hanamkonda  cell 9963214108"
1350015,"Maraton Sahistic Clujean- Blitz 11 runde, OMOLOGARE FIDE Cluj-Napoca 01 Martie 2026 ora 16:00 TAXA DE PARTICIPARE 25 RON!",2026-03-01,3,2,"FSEGA, Strada Teodor Mihali 58-60. Cluj-Napoca"
1350019,BGS KREEDOTSAVA 2026 GIRLS ,2026-02-09,15,5,
1350020,OKULLAR ARASI MAHALLİ BATMAN YILDIZLAR SATRANÇ TURNUVASI YILDIZLAR KIZLAR,2026-02-09,45,30,19 MAYIS SPOR SALONU
1350021,2026 Diamond Chess Academy Classical 0.1 Ladies,2026-02-07,45,15,"Teachers Centre, Kimberley"
1350022,OKULLAR ARASI MAHALLİ BATMAN YILDIZLAR SATRANÇ TURNUVASI YILDIZLAR AÇIK ,2026-02-09,45,30,19 MAYIS SPOR SALONU
1350024,2026 Diamond Chess Academy Classical 0.1 Section A,2026-02-07,45,15,"Teachers Centre, Kimberley"
1350026,Team Chess Championship Jalgaon ,2026-02-09,,0,Governament College Jalgaon
1350027,2025–2026 ÖĞRETİM YILI OKULLAR ARASI KÜÇÜKLER-YILDIZLAR SATRANÇ TURNUVASI YILDIZLAR KIZLAR KATEGORİSİ,2026-02-09,45,30,ŞEHİTKAMİL BELEDİYESİ ATATÜRK KÜLTÜR VE SPOR MERKEZİ
1350028,SRI GURURAJA INTERNATIONAL SCHOOL CHILDRENS 2nd CHESS TOURNAMENT - 2026 CONTACT NO : 9010451585,2026-02-11,30,30,NANDYAL
1350029,2025–2026 ÖĞRETİM YILI OKULLAR ARASI KÜÇÜKLER-YILDIZLAR SATRANÇ TURNUVASI 2. KÜME KÜÇÜKLER GENEL KATEGORİSİ,2026-02-09,45,30,ŞEHİTKAMİL BELEDİYESİ ATATÜRK KÜLTÜR VE SPOR MERKEZİ
1350031,2025–2026 ÖĞRETİM YILI OKULLAR ARASI KÜÇÜKLER-YILDIZLAR SATRANÇ TURNUVASI KÜÇÜKLER GENEL KATEGORİSİ,2026-02-09,45,30,ŞEHİTKAMİL BELEDİYESİ ATATÜRK KÜLTÜR VE SPOR MERKEZİ
1350032,2025–2026 ÖĞRETİM YILI OKULLAR ARASI KÜÇÜKLER-YILDIZLAR SATRANÇ TURNUVASI KÜÇÜKLER KIZLAR KATEGORİSİ,2026-02-09,45,30,ŞEHİTKAMİL BELEDİYESİ ATATÜRK KÜLTÜR VE SPOR MERKEZİ
1350033,79 th Union Day Chess Tournament (U-25) ,2026-02-08,60,0,Hpa-an(Youth Center)
1350034,79 th Union Day chess Tournament(Open) ,2026-02-01,60,0,Hpa-an(Youth Center
1350042,Campeonato Feirense de Xadrez RÁPIDO (10+5)  2026 - ETAPA 6 ,2026-09-26,10,5,SESI - Feira de Santana - BA
1350036,2025-2026 YILI OKULLAR ARASI MAHALLİ HATAY KÜÇÜKLER SATRANÇ TURNUVASI Kızlar Kategorisi,2026-02-09,45,30,Antakya Merkez Kapalı Spor Salonu
1350037,2025-2026 YILI OKULLAR ARASI MAHALLİ HATAY KÜÇÜKLER SATRANÇ TURNUVASI Genel Kategori,2026-02-09,45,30,Antakya Merkez Kapalı Spor Salonu
1350039,"S.I.T. UDYAM RAPID CHESS TOURNAMENT- 2026, ",2026-02-09,10,0,S.I.T.
1350041,XVII. kerületi sakk diákolimpia 2025/26 II. kcs. fiú ,2026-02-09,15,0,Riz Levente Sport és Rendezvényközpont (XVII. Pesti út 88.)
1350044,KEJOHANAN CATUR MSSD HULU TERENGGANU 2026 LELAKI BAWAH 15 ,2026-02-10,25,0,MRSM KUALA BERANG
1350045,KEJOHANAN CATUR MSSD HULU TERENGGANU 2026 LELAKI BAWAH 18 ,2026-02-10,,0,MRSM KUALA BERANG
1350046,XVII. kerületi sakk diákolimpia 2025/26 IV. kcs. fiú ,2026-02-09,15,0,Riz Levente Sport és Rendezvényközpont (XVII. Pesti út 88.)
1350048,XVII. kerületi sakk diákolimpia 2025/26 I. kcs. leány ,2026-02-09,15,0,Riz Levente Sport és Rendezvényközpont (XVII. Pesti út 88.)
1350050,XVII. kerületi sakk diákolimpia 2025/26 III. kcs. leány ,2026-02-09,15,0,Riz Levente Sport és Rendezvényközpont (XVII. Pesti út 88.)
1350052,"Rapid Rača ""A"" FIDE 14.03.2026 ",2026-03-14,10,2," ZŠ Tbiliská 4, Bratislava"
1350054,"Турнир по быстрым шахматам ""ISKRA rapid-chess"". II этап ",2026-02-15,10,5,Хабаровск
1350055,"Rapid Rača ""B"" GPX 14.03.2026 ",2026-03-14,10,2," ZŠ Tbiliská 4, Bratislava"
1350058,"Turnaj pre najmenších ""A"" 13.03. 2026 ",2026-03-13,7,3,"ZŠ Tbiliská 4, parkovanie Kaufland Rača"
1350059,"Turnaj pre najmenších ""B"" 13.03. 2026 ",2026-03-13,7,3,"ZŠ Tbiliská 4, parkovanie Kaufland Rača"
1350061,"Турнир по быстрым шахматам ""Чемпион"" ",2026-02-15,15,0,Уфа
1350062,"Турнир по быстрым шахматам ""Юниор"" ",2026-02-15,15,0,Уфа
1350063,2025-2026 ÖĞRETİM YILI OKULLAR ARASI MAHALLİ OSMANİYE KÜÇÜKLER-YILDIZLAR-GENÇLER SATRANÇ TURNUVASI - GENÇLER AÇIK KATEGORİSİ,2026-02-09,45,30,TOSYALI SPOR SALONU
1350064,"Турнир по быстрым шахматам ""Дебют"" ",2026-02-15,15,0,Уфа
1350065,2025-2026 ÖĞRETİM YILI OKULLAR ARASI MAHALLİ OSMANİYE KÜÇÜKLER-YILDIZLAR-GENÇLER SATRANÇ TURNUVASI - KÜÇÜKLER KIZ KATEGORİSİ,2026-02-09,45,30,TOSYALI SPOR SALONU
1350066,2025-2026 ÖĞRETİM YILI OKULLAR ARASI MAHALLİ OSMANİYE KÜÇÜKLER-YILDIZLAR-GENÇLER SATRANÇ TURNUVASI - KÜÇÜKLER AÇIK KATEGORİSİ,2026-02-09,45,30,TOSYALI SPOR SALONU
1350000,Maraton Sahistic Clujean Ed.12- Turneu B- U1700- Omologare Fide  Cluj-Napoca 27 Februarie-1 Martie 2026,2026-02-27,60,30,"FSEGA Cluj-Napoca, Strada Teodor Mihali nr. 58-60, Cluj-Napoca"
1350004,Чемпионат Калужской области по быстрым шахматам (женщины) ,2026-02-14,15,10,Kaluga
1350010,"A1 Kings Chess Academy Blitz Chess Tournament 22 Feb 2026 Entry Fees 300/- Ag Sports Club,Nizampet,Cell 8500346733",2026-02-22,3,2,"AG Sports Club Nizampet,Hyderabad"
1350023,V Рапид турнир во шах Езерски бисер 2026 ,2026-03-29,10,0,ООУ Братство Единство Охрид
1350025,"2nd Edition of CM ' CUP Girls Hanumakonda District Selections – 2025 Indore Stadium ,   Hanamkonda  cell 9963214108",2026-09-02,15,0,"Vamshi Stust Bhava, Vidhyuth Nagar ,   Hanamkonda  cell 9963214108"
1350030,2025–2026 ÖĞRETİM YILI OKULLAR ARASI KÜÇÜKLER-YILDIZLAR SATRANÇ TURNUVASI YILDIZLAR GENEL KATEGORİSİ,2026-02-09,45,30,ŞEHİTKAMİL BELEDİYESİ ATATÜRK KÜLTÜR VE SPOR MERKEZİ
1350047,Campeonato Feirense de Xadrez RÁPIDO (10+5)  2026 - ETAPA 7 ,2026-10-24,10,5,SESI - Feira de Santana - BA
