match_id,tournament_id,white_id,black_id,result,white_rtg,black_rtg
1351499_R1_B1,1351499,,,,,
1351499_R1_B2,1351499,,,,,
1351499_R1_B3,1351499,,,,,
1351499_R1_B4,1351499,,,,,
1351499_R1_B5,1351499,,,,,
1351499_R1_B6,1351499,,,,,
1351499_R1_B7,1351499,,,,,
1351499_R1_B8,1351499,,,,,
1351499_R1_B9,1351499,,,,,
1351499_R1_B10,1351499,,,,,
1351499_R1_B11,1351499,,,,,
1351499_R1_B12,1351499,,,,,
1351499_R1_B13,1351499,,,,,
1351499_R1_B14,1351499,,,,,
1351499_R1_B15,1351499,,,,,
1351499_R1_B16,1351499,,,,,
1351499_R1_B17,1351499,,,,,
1351499_R1_B18,1351499,,,,,
1351499_R1_B19,1351499,,,,,
1351499_R1_B20,1351499,,,,,
1351499_R1_B21,1351499,,,,,
1351499_R1_B22,1351499,,,,,
1351499_R1_B23,1351499,,,,,
1351499_R1_B24,1351499,,,,,
1350002_R1_B1,1350002,24195995,34112178,1 - 0,2289,1717
1350002_R1_B2,1350002,34461051,4197011,0 - 1,1685,2196
1350002_R1_B3,1350002,4125460,34331603,1 - 0,2193,1675
1350002_R1_B4,1350002,55608230,34406867,0 - 1,1673,1979
1350002_R1_B5,1350002,24102571,54131553,1 - 0,1916,1643
1350002_R1_B6,1350002,522087354,24130184,0 - 1,1612,1902
1350002_R1_B7,1350002,55808514,540015572,1 - 0,1857,1585
1350002_R1_B8,1350002,55823580,55755755,0 - 1,1582,1806
1350002_R1_B9,1350002,34399178,540096874,1 - 0,1801,1577
1350002_R1_B10,1350002,54122023,55653570,0 - 1,1554,1797
1350002_R1_B11,1350002,34386130,13326490,0 - 1,1781,1466
1350002_R1_B12,1350002,,24232483,0 - 1,1447,1763
1350002_R1_B13,1350002,34406816,,1 - 0,1754,1349
1350002_R1_B14,1350002,55755160,54141095,0 - 1,1122,1738
1350002_R1_B15,1350002,540039757,24239267,1 - 0,1724,1000
1350002_R1_B16,1350002,55756883,,0,1538,
1350001_R1_B1,1350001,,,,,
1350001_R1_B2,1350001,,,,,
1350001_R1_B3,1350001,,,,,
1350001_R1_B4,1350001,,,,,
1350005_R1_B1,1350005,42248698,42249350,1 - 0,1407,790
1350005_R1_B2,1350005,,42239001,0 - 1,765,1057
1350005_R1_B3,1350005,42239060,42247519,1 - 0,922,735
1350005_R1_B4,1350005,,42253969,0 - 1,732,916
1350005_R1_B5,1350005,42238641,42260272,1 - 0,898,719
1350005_R1_B6,1350005,42258286,42250218,0 - 1,714,894
1350005_R1_B7,1350005,42236452,,1 - 0,878,701
1350005_R1_B8,1350005,,42248620,0 - 1,701,848
1350005_R1_B9,1350005,42247551,42260221,1 - 0,826,701
1350005_R1_B10,1350005,,42240786,0 - 1,701,804
1350006_R1_B1,1350006,13721895,,+ - -,1980,0
1350006_R1_B2,1350006,,13726820,0 - 1,0,1902
1350006_R1_B3,1350006,447068620,447026332,1 - 0,1872,0
1350006_R1_B4,1350006,,447043253,0 - 1,0,1751
1350006_R1_B5,1350006,447066342,,1 - 0,1745,0
1350006_R1_B6,1350006,,447077883,0 - 1,0,1738
1350006_R1_B7,1350006,13715330,,+ - -,1736,0
1350006_R1_B8,1350006,,13760963,- - +,0,1726
1350006_R1_B9,1350006,13707370,,+ - -,1713,0
1350006_R1_B10,1350006,,447025492,0 - 1,0,1707
1350006_R1_B11,1350006,13707272,,+ - -,1696,0
1350006_R1_B12,1350006,,447077921,1 - 0,0,1687
1350006_R1_B13,1350006,447066393,,1 - 0,1673,0
1350006_R1_B14,1350006,447084855,557010501,0 - 1,0,1668
1350006_R1_B15,1350006,13784285,,+ - -,1667,0
1350006_R1_B16,1350006,,13727931,0 - 1,0,1663
1350006_R1_B17,1350006,447042869,557022054,1 - 0,1643,0
1350006_R1_B18,1350006,,557003424,- - +,0,1622
1350006_R1_B19,1350006,447066334,557003610,1 - 0,1607,0
1350006_R1_B20,1350006,,447026316,0 - 1,0,1605
1350006_R1_B21,1350006,447066369,,1 - 0,1589,0
1350006_R1_B22,1350006,,557003440,1 - 0,0,1588
1350006_R1_B23,1350006,447025859,557022062,1 - 0,1575,0
1350006_R1_B24,1350006,,447090600,- - +,0,1565
1350006_R1_B25,1350006,447083085,,+ - -,1558,0
1350006_R1_B26,1350006,,447068574,0 - 1,0,1555
1350006_R1_B27,1350006,447076208,,1 - 0,1525,0
1350006_R1_B28,1350006,447066423,447025476,0 - 1,0,1524
